poi_id,is_visible,num_visible,cellsite_1,lat_1,lon_1,radio_type_1,ground_distance_1,antenna_los_distance_1,azimuth_angle_1,los_geometry_1,cellsite_2,lat_2,lon_2,radio_type_2,ground_distance_2,antenna_los_distance_2,azimuth_angle_2,los_geometry_2,cellsite_3,lat_3,lon_3,radio_type_3,ground_distance_3,antenna_los_distance_3,azimuth_angle_3,los_geometry_3
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,True,3,144e8fc3-5bbf-4867-b6e7-67dac7dad7e4,38.97435594411141,1.3678924622333437,4G,1352,1352,34.37,"LINESTRING (1.359063479 38.96432194, 1.3678924622333437 38.97435594411141)",786cabc6-e800-409d-931f-fe3d1e33b522,38.97274207311786,1.3727026472159556,4G,1506,1506,51.55,"LINESTRING (1.359063479 38.96432194, 1.3727026472159556 38.97274207311786)",82e53aaa-57c5-4437-898c-3c8d5c2e8336,38.98448764654776,1.3478684724215728,3G,2442,2443,336.66,"LINESTRING (1.359063479 38.96432194, 1.3478684724215728 38.98448764654776)"
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,True,3,5e5a6033-d6d3-452d-870a-2f2b95388811,38.96174468225223,1.397337762626169,3G,538,538,79.25,"LINESTRING (1.391227572 38.9608426, 1.397337762626169 38.96174468225223)",dcd0ccdd-5496-41bc-bf1f-94f983a16853,38.9553818576673,1.3859462474310846,4G,760,762,216.95,"LINESTRING (1.391227572 38.9608426, 1.3859462474310846 38.9553818576673)",cf18352b-f1f9-47e4-877a-8cc1b7cca651,38.974372986696494,1.3833604193535785,4G,1651,1652,335.68,"LINESTRING (1.391227572 38.9608426, 1.3833604193535785 38.974372986696494)"
c961624c-546e-4375-8360-6d75bc188022,False,0,,,,,,,,,,,,,,,,,,,,,,,,
1914138c-459b-4d5d-8aff-23f1aca8965c,True,3,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,38.95580263820795,1.4457286594381331,4G,412,413,317.79,"LINESTRING (1.448931843 38.95305666, 1.4457286594381331 38.95580263820795)",67e2292b-3bf5-4de7-b734-38b4ad706039,38.94908719708347,1.4546617249181488,4G,664,664,131.69,"LINESTRING (1.448931843 38.95305666, 1.4546617249181488 38.94908719708347)",23131082-f9bf-4ab5-91b3-23111c4bf241,38.96964746065793,1.437323756024553,4G,2100,2100,331.46,"LINESTRING (1.448931843 38.95305666, 1.437323756024553 38.96964746065793)"
ef6eb534-04e9-4265-bc5b-1543f3452634,True,3,86818972-6723-46e5-9916-af01c2be5383,38.87050132158264,1.384334677393355,4G,1213,65540,156.72,"LINESTRING (1.378797427 38.88051984, 1.384334677393355 38.87050132158264)",a4c3eba3-efee-4b4a-86aa-08e76a013113,38.87700757837964,1.365715302334365,4G,1198,1198,250.98,"LINESTRING (1.378797427 38.88051984, 1.365715302334365 38.87700757837964)",4de24eb6-f9ad-4f93-95ea-d39d19d57de0,38.88311876253912,1.3922060476891158,4G,1196,1196,76.01,"LINESTRING (1.378797427 38.88051984, 1.3922060476891158 38.88311876253912)"
304e1e26-439a-45fb-8837-9a38fdc6ec41,True,3,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,38.932825348001465,1.4304547494166149,2G,1802,1802,319.72,"LINESTRING (1.443926473 38.92045977, 1.4304547494166149 38.932825348001465)",d3943d1d-2fd9-4e0e-82b3-e0d977692844,38.92733764400614,1.464216761368047,4G,1915,1916,66.45,"LINESTRING (1.443926473 38.92045977, 1.464216761368047 38.92733764400614)",67e2292b-3bf5-4de7-b734-38b4ad706039,38.94908719708347,1.4546617249181488,4G,3316,3317,16.26,"LINESTRING (1.443926473 38.92045977, 1.4546617249181488 38.94908719708347)"
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,True,2,e7356954-eb7e-444d-adde-ea48e0e81129,39.04085669495776,1.593396738478233,3G,2330,2330,98.92,"LINESTRING (1.566748446 39.04410963, 1.593396738478233 39.04085669495776)",a2f0e1d1-0db2-40ba-adb9-c59a1b1fbc8f,39.075115914928745,1.6033916796911398,4G,4679,4680,42.53,"LINESTRING (1.566748446 39.04410963, 1.6033916796911398 39.075115914928745)",,,,,,,,
955bca73-4483-45af-ae38-adddd0751bf7,True,3,0222b6a7-350c-46b2-95fd-a3e1c61ee847,38.97666489861615,1.4383532678871531,4G,551,551,247.68,"LINESTRING (1.444245643 38.9785459, 1.4383532678871531 38.97666489861615)",23131082-f9bf-4ab5-91b3-23111c4bf241,38.96964746065793,1.437323756024553,4G,1156,1157,211.17,"LINESTRING (1.444245643 38.9785459, 1.437323756024553 38.96964746065793)",dfc3dbe8-ec80-4a71-9305-61a4384c91d6,38.95580263820795,1.4457286594381331,4G,2532,2533,177.1,"LINESTRING (1.444245643 38.9785459, 1.4457286594381331 38.95580263820795)"
5529ea39-d40f-4c80-a308-07fe2fb85cfa,True,3,22d699dd-ade7-497f-9730-432fa3700c46,38.9062992785694,1.3800854230256565,3G,1160,1165,89.5,"LINESTRING (1.366680989 38.90620842, 1.3800854230256565 38.9062992785694)",a4c3eba3-efee-4b4a-86aa-08e76a013113,38.87700757837964,1.365715302334365,4G,3248,3252,181.47,"LINESTRING (1.366680989 38.90620842, 1.365715302334365 38.87700757837964)",4de24eb6-f9ad-4f93-95ea-d39d19d57de0,38.88311876253912,1.3922060476891158,4G,3387,3390,139.28,"LINESTRING (1.366680989 38.90620842, 1.3922060476891158 38.88311876253912)"
7a4e4050-b3db-43ab-b487-a7df597ea8ce,True,3,dcd0ccdd-5496-41bc-bf1f-94f983a16853,38.9553818576673,1.3859462474310846,4G,254,257,348.18,"LINESTRING (1.386549067 38.9531428, 1.3859462474310846 38.9553818576673)",cf18352b-f1f9-47e4-877a-8cc1b7cca651,38.974372986696494,1.3833604193535785,4G,2377,2381,353.34,"LINESTRING (1.386549067 38.9531428, 1.3833604193535785 38.974372986696494)",786cabc6-e800-409d-931f-fe3d1e33b522,38.97274207311786,1.3727026472159556,4G,2487,2491,331.22,"LINESTRING (1.386549067 38.9531428, 1.3727026472159556 38.97274207311786)"
