,entityName,entityIso_mbbsubscr,dataValue_mbbsubscr,dataValue_mbbtraffic,mbb_traffic_per_subscr_per_month,dataYear
137,Switzerland,CHE,9144900.0,1.8675,18.27259689663091,2022
138,Suriname,SUR,784933.0,0.5347,60.95315919668727,2021
139,Slovenia,SVN,2035250.0,0.32,14.06859860295623,2022
140,Eswatini,SWZ,1364310.0,0.00935616,0.6136252210541007,2022
141,Syrian Arab Republic,SYR,4846360.0,0.474,8.751475756650352,2022
142,Chad,TCD,950667.0,0.03284,3.090959777026726,2021
143,Czech Republic,CZE,11021900.0,0.87707,7.120269203250499,2022
144,Togo,TGO,3362420.0,0.0645679,1.718238022957909,2022
145,Thailand,THA,87357000.0,24.07,24.654545622827403,2022
146,Tonga,TON,64328.0,0.000128,0.17804449264187705,2021
147,Trinidad and Tobago,TTO,837699.0,0.105695,11.289769365018541,2022
148,Tunisia,TUN,10604800.0,0.82,6.91878752766043,2022
149,Türkiye,TUR,71651100.0,11.0,13.736890831636453,2022
150,Tanzania,TZA,18703500.0,0.752836,3.6016053136795425,2022
151,United Arab Emirates,ARE,22178200.0,2.22,8.956643796160195,2022
152,Uganda,UGA,25680500.0,0.392584,1.3678791957361163,2022
153,Uruguay,URY,3964110.0,0.500807,11.30429069938288,2022
154,United States,USA,586991000.0,67.241,10.249940514077162,2022
155,Uzbekistan,UZB,36956100.0,1.88063,4.553400490647733,2022
156,Saint Vincent and the Grenadines,VCT,62982.0,0.00161,2.287325924655722,2020
157,Venezuela,VEN,14755900.0,0.37,2.2436475967804967,2022
158,British Virgin Islands,VGB,34951.0,0.000642084,1.6438071522064606,2015
159,Viet Nam,VNM,95178900.0,10.8,10.15317094019788,2022
160,Vanuatu,VUT,1061250.0,0.0146961,1.2390904766145583,2022
161,Yemen,YEM,9832240.0,0.09,0.8190466953613825,2022
162,Serbia,SRB,7274670.0,0.834,10.258205082567319,2022
163,Dem. Rep. of the Congo,COD,25935100.0,0.485082,1.6735776080471638,2022
164,Zimbabwe,ZWE,9720330.0,0.113858,1.0480962460207284,2022
165,Moldova,MDA,2829580.0,0.259798,8.215470682090393,2022
166,Bosnia and Herzegovina,BIH,2098390.0,0.088182,3.760212254949747,2022
167,Georgia,GEO,4101170.0,0.441278,9.627712835830426,2022
168,Kazakhstan,KAZ,18657900.0,4.27583,20.505779961454753,2022
169,Kyrgyzstan,KGZ,11622400.0,0.4375,3.368223201174743,2022
170,Slovakia,SVK,4895260.0,0.508968,9.303221018523224,2022
171,North Macedonia,MKD,1458380.0,0.132664,8.139561553409491,2022
172,Faroe Islands,FRO,56497.0,0.00518935,8.218758126352432,2020
173,"Taiwan, Province of China",TWN,28358300.0,10.43,32.90961030903357,2022
174,State of Palestine,WBG,1148700.0,0.0983,7.6571211876614145,2022
175,Montenegro,MNE,642967.0,0.103936,14.464250656107287,2022
176,South Sudan,SSD,658150.0,0.00408,0.5546945531565753,2019
177,Curacao,CUW,98727.0,0.24,217.51736080302248,2021
